time (seconds),encoderLeft (meters),encoderRight (meters)
167.801,-0.0019457867601886392,-0.0021661322098225355
167.9,-0.0019469503313302994,-0.002167424652725458
168.002,-0.0019480790942907333,-0.0021686882246285677
168.101,-0.0019492259016260505,-0.00216996343806386
168.2,-0.0019504268420860171,-0.002171298721805215
168.304,-0.0019515592139214277,-0.00217256136238575
168.399,-0.0019527394324541092,-0.002173871733248234
168.5,-0.001953879138454795,-0.002175143687054515
168.599,-0.0019550148863345385,-0.0021764133125543594
168.701,-0.001956203719601035,-0.0021777315996587276
168.801,-0.001957358093932271,-0.0021790151949971914
168.899,-0.0019584917463362217,-0.002180281560868025
169.002,-0.001959686866030097,-0.00218160729855299
169.098,-0.0019608119037002325,-0.0021828634198755026
169.201,-0.0019619951490312815,-0.0021841763518750668
169.301,-0.0019631576724350452,-0.0021854694932699203
169.401,-0.001964292488992214,-0.0021867374889552593
169.501,-0.001965473871678114,-0.002188048092648387
169.594,-0.001966625452041626,-0.002189333550632
169.702,-0.0019677486270666122,-0.0021905875764787197
169.801,-0.001968905795365572,-0.002191876992583275
169.897,-0.0019701002165675163,-0.002193199936300516
170.001,-0.0019712455105036497,-0.0021944802720099688
170.1,-0.001972432481124997,-0.0021957980934530497
170.2,-0.0019735917448997498,-0.0021970889065414667
170.301,-0.0019747205078601837,-0.002198349218815565
170.401,-0.001975867198780179,-0.002199627459049225
170.501,-0.0019770627841353416,-0.0022009548265486956
170.601,-0.001978233689442277,-0.0022022551856935024
170.701,-0.0019793591927736998,-0.002203513402491808
170.8,-0.0019805519841611385,-0.002204835182055831
170.901,-0.0019817021675407887,-0.002206119243055582
171.001,-0.0019828337244689465,-0.0022073814179748297
171.092,-0.0019840120803564787,-0.002208689460530877
171.2,-0.0019851550459861755,-0.0022099646739661694
171.301,-0.0019863005727529526,-0.0022112426813691854
171.401,-0.001987461233511567,-0.0022125341929495335
171.5,-0.001988631673157215,-0.002213834784924984
171.598,-0.001989745069295168,-0.002215081825852394
171.698,-0.0019908957183361053,-0.002216362627223134
171.801,-0.0019920675549656153,-0.0022176639176905155
171.901,-0.0019931956194341183,-0.0022189244627952576
172.001,-0.0019943781662732363,-0.002220236463472247
172.098,-0.00199553812853992,-0.002221528207883239
172.202,-0.0019966864492744207,-0.0022228097077459097
172.3,-0.0019978501368314028,-0.0022241072729229927
172.401,-0.001999038504436612,-0.002225425560027361
172.502,-0.0020001803059130907,-0.0022266991436481476
172.6,-0.0020013197790831327,-0.0022279713302850723
172.701,-0.002002488123252988,-0.0022292702924460173
172.801,-0.0020036576315760612,-0.0022305697202682495
172.9,-0.0020047975704073906,-0.002231841441243887
173.001,-0.0020059533417224884,-0.0022331280633807182
173.101,-0.0020071205217391253,-0.0022344288881868124
173.201,-0.002008268376812339,-0.002235706662759185
173.301,-0.0020094241481274366,-0.002236996777355671
173.387,-0.002010626019909978,-0.0022383294999599457
173.501,-0.0020117550157010555,-0.0022395907435566187
173.601,-0.002012877957895398,-0.0022408445365726948
173.701,-0.0020140656270086765,-0.0022421618923544884
173.801,-0.002015204168856144,-0.0022434319835156202
173.9,-0.002016374608501792,-0.0022447342053055763
174.001,-0.002017501275986433,-0.0022459919564425945
174.102,-0.0020186849869787693,-0.0022473051212728024
174.201,-0.002019840758293867,-0.0022485917434096336
174.302,-0.0020209974609315395,-0.002249878365546465
174.402,-0.0020221651066094637,-0.0022511787246912718
174.502,-0.0020233215764164925,-0.002252466743811965
174.598,-0.0020244871266186237,-0.0022537631448358297
174.704,-0.0020256240386515856,-0.00225503440015018
174.796,-0.0020268072839826345,-0.0022563436068594456
174.9,-0.0020279851742088795,-0.002257659798488021
175,-0.002029155381023884,-0.002258958062157035
175.099,-0.002030338626354933,-0.00226027169264853
175.201,-0.002031500916928053,-0.002261568559333682
175.3,-0.0020326764788478613,-0.002262873575091362
175.404,-0.0020338003523647785,-0.002264132723212242
175.501,-0.0020349938422441483,-0.0022654570639133453
175.598,-0.002036132849752903,-0.002266728552058339
175.701,-0.0020373172592371702,-0.0022680414840579033
175.801,-0.002038469072431326,-0.002269323915243149
175.892,-0.002039643470197916,-0.0022706284653395414
176,-0.002040763618424535,-0.002271882025524974
176.099,-0.0020419200882315636,-0.002273168880492449
176.201,-0.0020430947188287973,-0.0022744741290807724
176.302,-0.0020442272070795298,-0.0022757372353225946
176.401,-0.002045417670160532,-0.002277061343193054
176.501,-0.002046573208644986,-0.0022783479653298855
176.6,-0.0020477348007261753,-0.0022796408738940954
176.7,-0.002048908732831478,-0.0022809456568211317
176.799,-0.0020500472746789455,-0.0022822183091193438
176.9,-0.0020512158516794443,-0.002283516339957714
177,-0.0020523816347122192,-0.0022848176304250956
177.101,-0.0020535620860755444,-0.002286129165440798
177.2,-0.002054719952866435,-0.0022874169517308474
177.294,-0.002055881079286337,-0.002288712654262781
177.401,-0.0020570154301822186,-0.002289975993335247
177.498,-0.002058163983747363,-0.002291258657351136
177.601,-0.002059339312836528,-0.0022925641387701035
177.701,-0.0020605502650141716,-0.0022939073387533426
177.801,-0.0020617342088371515,-0.0022952219005674124
177.906,-0.002062899526208639,-0.0022965185344219208
177.991,-0.0020640427246689796,-0.0022977921180427074
178.101,-0.002065215026959777,-0.0022990950383245945
178.199,-0.00206638197414577,-0.002300393069162965
178.301,-0.002067531691864133,-0.0023016738705337048
178.396,-0.0020686748903244734,-0.0023029481526464224
178.5,-0.0020698485895991325,-0.0023042522370815277
178.596,-0.0020709806121885777,-0.0023055155761539936
178.701,-0.00207214686088264,-0.002306813606992364
178.798,-0.002073323354125023,-0.0023081216495484114
178.881,-0.00207447144202888,-0.002309400588274002
179.007,-0.0020756148733198643,-0.0023106802254915237
179.096,-0.0020768167451024055,-0.0023120115511119366
179.201,-0.002077945042401552,-0.002313271863386035
179.299,-0.0020790821872651577,-0.0023145396262407303
179.401,-0.0020802540238946676,-0.002315841382369399
179.499,-0.002081426093354821,-0.002317145001143217
179.601,-0.002082559745758772,-0.0023184085730463266
179.701,-0.0020837299525737762,-0.0023197117261588573
179.799,-0.002084897132590413,-0.0023210090585052967
179.901,-0.0020860563963651657,-0.002322301035746932
180.001,-0.0020872028544545174,-0.00232358044013381
180.101,-0.002088376320898533,-0.0023248842917382717
180.193,-0.0020895320922136307,-0.002326170215383172
180.301,-0.00209069368429482,-0.002327465685084462
180.398,-0.002091814763844013,-0.0023287173826247454
180.5,-0.0020930105820298195,-0.002330046147108078
180.599,-0.0020941845141351223,-0.0023313486017286777
180.701,-0.002095353789627552,-0.0023326489608734846
180.8,-0.0020964923314750195,-0.0023339209146797657
180.902,-0.0020976790692657232,-0.0023352368734776974
181.001,-0.002098850207403302,-0.0023365416564047337
